2023/8/2 1:10 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時使用率(%)
3062,14:00〜15:00,8/2,0:13,85
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
2610,14:00〜15:00,8/2,0:13
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時使用率(%)
1750,0:00〜1:00,8/2,0:13,88
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1550,0:00〜1:00,8/2,0:13
最大使用率(%),予想気温(最低),予想気温(最高),気温実績(最低),気温実績(最高)
88,*,*,*,*
DATE,TIME,当日実績(万kW),予想値(万kW),使用率(%),供給力想定値(万kW)
2023/8/1,0:00,1544,1550,88,1750
2023/8/1,1:00,1441,1440,88,1630
2023/8/1,2:00,1421,1410,88,1600
2023/8/1,3:00,1424,1410,88,1605
2023/8/1,4:00,1416,1410,87,1610
2023/8/1,5:00,1439,1430,87,1638
2023/8/1,6:00,1529,1540,85,1781
2023/8/1,7:00,1769,1790,82,2133
2023/8/1,8:00,2128,2140,84,2529
2023/8/1,9:00,2398,2400,87,2749
2023/8/1,10:00,2499,2510,86,2880
2023/8/1,11:00,2559,2570,86,2956
2023/8/1,12:00,2528,2530,86,2924
2023/8/1,13:00,2610,2600,86,3023
2023/8/1,14:00,2608,2610,85,3062
2023/8/1,15:00,2581,2570,84,3050
2023/8/1,16:00,2527,2510,83,3019
2023/8/1,17:00,2363,2390,81,2889
2023/8/1,18:00,2259,2290,80,2800
2023/8/1,19:00,2166,2190,81,2668
2023/8/1,20:00,2046,2060,80,2554
2023/8/1,21:00,1935,1950,77,2485
2023/8/1,22:00,1816,1840,77,2357
2023/8/1,23:00,1700,1730,74,2284
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時使用率(%)
2857,14:00〜15:00,8/1,23:43,90
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
2590,14:00〜15:00,8/1,23:43
翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時使用率(%)
2810,11:00〜12:00,8/1,23:43,91
翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
2560,11:00〜12:00,8/1,23:43
予想気温(最低),予想気温(最高)
*,*
DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW)
2023/8/1,0:00,1621,0
2023/8/1,0:05,1603,0
2023/8/1,0:10,1595,0
2023/8/1,0:15,1591,0
2023/8/1,0:20,1578,0
2023/8/1,0:25,1567,0
2023/8/1,0:30,1553,0
2023/8/1,0:35,1533,0
2023/8/1,0:40,1520,0
2023/8/1,0:45,1517,0
2023/8/1,0:50,1500,0
2023/8/1,0:55,1492,0
2023/8/1,1:00,1481,0
2023/8/1,1:05,1472,0
2023/8/1,1:10,1466,0
2023/8/1,1:15,1459,0
2023/8/1,1:20,1448,0
2023/8/1,1:25,1443,0
2023/8/1,1:30,1437,0
2023/8/1,1:35,1435,0
2023/8/1,1:40,1437,0
2023/8/1,1:45,1433,0
2023/8/1,1:50,1423,0
2023/8/1,1:55,1422,0
2023/8/1,2:00,1420,0
2023/8/1,2:05,1411,0
2023/8/1,2:10,1425,0
2023/8/1,2:15,1420,0
2023/8/1,2:20,1416,0
2023/8/1,2:25,1419,0
2023/8/1,2:30,1418,0
2023/8/1,2:35,1408,0
2023/8/1,2:40,1416,0
2023/8/1,2:45,1429,0
2023/8/1,2:50,1428,0
2023/8/1,2:55,1432,0
2023/8/1,3:00,1430,0
2023/8/1,3:05,1423,0
2023/8/1,3:10,1423,0
2023/8/1,3:15,1430,0
2023/8/1,3:20,1427,0
2023/8/1,3:25,1436,0
2023/8/1,3:30,1431,0
2023/8/1,3:35,1425,0
2023/8/1,3:40,1421,0
2023/8/1,3:45,1416,0
2023/8/1,3:50,1416,0
2023/8/1,3:55,1415,0
2023/8/1,4:00,1420,0
2023/8/1,4:05,1417,0
2023/8/1,4:10,1406,0
2023/8/1,4:15,1404,0
2023/8/1,4:20,1402,0
2023/8/1,4:25,1397,0
2023/8/1,4:30,1406,0
2023/8/1,4:35,1410,0
2023/8/1,4:40,1422,0
2023/8/1,4:45,1435,0
2023/8/1,4:50,1429,0
2023/8/1,4:55,1432,0
2023/8/1,5:00,1428,0
2023/8/1,5:05,1432,0
2023/8/1,5:10,1433,0
2023/8/1,5:15,1431,0
2023/8/1,5:20,1441,0
2023/8/1,5:25,1445,1
2023/8/1,5:30,1439,2
2023/8/1,5:35,1439,4
2023/8/1,5:40,1433,8
2023/8/1,5:45,1436,12
2023/8/1,5:50,1446,16
2023/8/1,5:55,1440,20
2023/8/1,6:00,1456,23
2023/8/1,6:05,1471,28
2023/8/1,6:10,1481,34
2023/8/1,6:15,1484,40
2023/8/1,6:20,1491,46
2023/8/1,6:25,1502,53
2023/8/1,6:30,1505,61
2023/8/1,6:35,1529,69
2023/8/1,6:40,1544,78
2023/8/1,6:45,1568,88
2023/8/1,6:50,1580,97
2023/8/1,6:55,1590,106
2023/8/1,7:00,1607,115
2023/8/1,7:05,1643,125
2023/8/1,7:10,1652,135
2023/8/1,7:15,1684,147
2023/8/1,7:20,1707,157
2023/8/1,7:25,1728,168
2023/8/1,7:30,1753,179
2023/8/1,7:35,1779,190
2023/8/1,7:40,1804,201
2023/8/1,7:45,1826,212
2023/8/1,7:50,1853,221
2023/8/1,7:55,1882,232
2023/8/1,8:00,1911,241
2023/8/1,8:05,1952,251
2023/8/1,8:10,1986,262
2023/8/1,8:15,2016,273
2023/8/1,8:20,2051,283
2023/8/1,8:25,2079,293
2023/8/1,8:30,2110,303
2023/8/1,8:35,2151,314
2023/8/1,8:40,2181,324
2023/8/1,8:45,2211,334
2023/8/1,8:50,2240,343
2023/8/1,8:55,2267,353
2023/8/1,9:00,2291,361
2023/8/1,9:05,2314,370
2023/8/1,9:10,2336,379
2023/8/1,9:15,2360,387
2023/8/1,9:20,2377,393
2023/8/1,9:25,2388,398
2023/8/1,9:30,2392,405
2023/8/1,9:35,2411,412
2023/8/1,9:40,2420,417
2023/8/1,9:45,2427,423
2023/8/1,9:50,2443,425
2023/8/1,9:55,2449,429
2023/8/1,10:00,2464,434
2023/8/1,10:05,2465,441
2023/8/1,10:10,2466,443
2023/8/1,10:15,2467,449
2023/8/1,10:20,2477,452
2023/8/1,10:25,2484,458
2023/8/1,10:30,2495,462
2023/8/1,10:35,2501,462
2023/8/1,10:40,2509,462
2023/8/1,10:45,2523,461
2023/8/1,10:50,2524,458
2023/8/1,10:55,2534,460
2023/8/1,11:00,2542,462
2023/8/1,11:05,2556,460
2023/8/1,11:10,2554,460
2023/8/1,11:15,2559,467
2023/8/1,11:20,2557,466
2023/8/1,11:25,2553,468
2023/8/1,11:30,2554,471
2023/8/1,11:35,2560,470
2023/8/1,11:40,2566,471
2023/8/1,11:45,2565,479
2023/8/1,11:50,2562,477
2023/8/1,11:55,2562,486
2023/8/1,12:00,2558,484
2023/8/1,12:05,2538,489
2023/8/1,12:10,2520,489
2023/8/1,12:15,2531,488
2023/8/1,12:20,2522,485
2023/8/1,12:25,2515,485
2023/8/1,12:30,2514,485
2023/8/1,12:35,2515,485
2023/8/1,12:40,2521,485
2023/8/1,12:45,2522,483
2023/8/1,12:50,2537,480
2023/8/1,12:55,2541,474
2023/8/1,13:00,2558,472
2023/8/1,13:05,2589,470
2023/8/1,13:10,2603,467
2023/8/1,13:15,2612,465
2023/8/1,13:20,2605,464
2023/8/1,13:25,2603,462
2023/8/1,13:30,2607,458
2023/8/1,13:35,2613,455
2023/8/1,13:40,2613,450
2023/8/1,13:45,2613,446
2023/8/1,13:50,2618,442
2023/8/1,13:55,2622,434
2023/8/1,14:00,2623,429
2023/8/1,14:05,2629,424
2023/8/1,14:10,2617,419
2023/8/1,14:15,2617,413
2023/8/1,14:20,2609,407
2023/8/1,14:25,2608,404
2023/8/1,14:30,2604,399
2023/8/1,14:35,2607,393
2023/8/1,14:40,2606,387
2023/8/1,14:45,2606,381
2023/8/1,14:50,2599,371
2023/8/1,14:55,2598,366
2023/8/1,15:00,2593,358
2023/8/1,15:05,2582,350
2023/8/1,15:10,2572,340
2023/8/1,15:15,2581,330
2023/8/1,15:20,2589,317
2023/8/1,15:25,2590,305
2023/8/1,15:30,2592,292
2023/8/1,15:35,2593,280
2023/8/1,15:40,2590,270
2023/8/1,15:45,2572,260
2023/8/1,15:50,2578,254
2023/8/1,15:55,2571,245
2023/8/1,16:00,2562,236
2023/8/1,16:05,2564,225
