2022/09/24 00:13 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
198,13:00〜14:00,09月23日,22:41,52,65
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
130,13:00〜14:00,09月23日,22:41
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
174,18:00〜19:00,09月23日,22:41,35,74
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
129,18:00〜19:00,09月23日,22:41
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2022/09/23,00:00,97,99,58,166
2022/09/23,01:00,92,94,57,159
2022/09/23,02:00,91,93,57,159
2022/09/23,03:00,91,91,57,159
2022/09/23,04:00,91,91,57,159
2022/09/23,05:00,92,91,57,159
2022/09/23,06:00,91,91,57,159
2022/09/23,07:00,98,98,58,168
2022/09/23,08:00,109,112,60,180
2022/09/23,09:00,117,124,62,186
2022/09/23,10:00,123,128,64,191
2022/09/23,11:00,122,128,62,195
2022/09/23,12:00,125,128,63,197
2022/09/23,13:00,129,130,65,197
2022/09/23,14:00,129,126,66,195
2022/09/23,15:00,130,129,68,190
2022/09/23,16:00,131,128,70,185
2022/09/23,17:00,128,125,71,179
2022/09/23,18:00,130,129,74,174
2022/09/23,19:00,130,129,74,174
2022/09/23,20:00,126,125,72,174
2022/09/23,21:00,119,122,68,174
2022/09/23,22:00,113,116,64,174
2022/09/23,23:00,106,109,60,174
最大使用率(%),時間帯
74,19:00〜20:00
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
193,13:00〜14:00,09月24日,00:00,47,67
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
131,13:00〜14:00,09月24日,00:00
翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
174,19:00〜20:00,09月24日,00:00,41,70
翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
123,19:00〜20:00,09月24日,00:00
DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間値)(万kW)
2022/09/23,00:00,103,0
2022/09/23,00:05,102,0
2022/09/23,00:10,100,0
2022/09/23,00:15,99,0
2022/09/23,00:20,101,0
2022/09/23,00:25,100,0
2022/09/23,00:30,100,0
2022/09/23,00:35,99,0
2022/09/23,00:40,97,0
2022/09/23,00:45,98,0
2022/09/23,00:50,98,0
2022/09/23,00:55,96,0
2022/09/23,01:00,95,0
2022/09/23,01:05,92,0
2022/09/23,01:10,94,0
2022/09/23,01:15,96,0
2022/09/23,01:20,95,0
2022/09/23,01:25,95,0
2022/09/23,01:30,92,0
2022/09/23,01:35,94,0
2022/09/23,01:40,94,0
2022/09/23,01:45,93,0
2022/09/23,01:50,93,0
2022/09/23,01:55,90,0
2022/09/23,02:00,90,0
2022/09/23,02:05,92,0
2022/09/23,02:10,92,0
2022/09/23,02:15,93,0
2022/09/23,02:20,92,0
2022/09/23,02:25,91,0
2022/09/23,02:30,92,0
2022/09/23,02:35,93,0
2022/09/23,02:40,93,0
2022/09/23,02:45,92,0
2022/09/23,02:50,90,0
2022/09/23,02:55,92,0
2022/09/23,03:00,94,0
2022/09/23,03:05,93,0
2022/09/23,03:10,93,0
2022/09/23,03:15,91,0
2022/09/23,03:20,93,0
2022/09/23,03:25,93,0
2022/09/23,03:30,93,0
2022/09/23,03:35,93,0
2022/09/23,03:40,90,0
2022/09/23,03:45,89,0
2022/09/23,03:50,90,0
2022/09/23,03:55,90,0
2022/09/23,04:00,92,0
2022/09/23,04:05,93,0
2022/09/23,04:10,92,0
2022/09/23,04:15,92,0
2022/09/23,04:20,90,0
2022/09/23,04:25,92,0
2022/09/23,04:30,92,0
2022/09/23,04:35,93,0
2022/09/23,04:40,92,0
2022/09/23,04:45,91,0
2022/09/23,04:50,91,0
2022/09/23,04:55,94,0
2022/09/23,05:00,94,0
2022/09/23,05:05,94,0
2022/09/23,05:10,93,0
2022/09/23,05:15,94,0
2022/09/23,05:20,94,0
2022/09/23,05:25,94,0
2022/09/23,05:30,94,0
2022/09/23,05:35,93,0
2022/09/23,05:40,90,0
2022/09/23,05:45,92,0
2022/09/23,05:50,94,0
2022/09/23,05:55,92,0
2022/09/23,06:00,93,0
2022/09/23,06:05,92,0
2022/09/23,06:10,94,0
2022/09/23,06:15,93,0
2022/09/23,06:20,93,0
2022/09/23,06:25,92,0
